bms_id,bms_father_id
1995100393,1120001237
1995108787,1140003006
1996100802,1120001455
1996100890,1120001449
1996107220,1120000715
1996107340,1120001261
1996107555,1120001503
1996110169,1140003309
1996110374,1140003632
1997101898,1120000779
1997101950,1120001192
1997104815,1120001308
1997105215,1120001595
1997105236,1120001345
1997105749,1120001191
1997105837,1120001548
1997106547,1120000291
1997110152,1140003861
1997110200,1140003408
1997110281,1140004121
1998100450,1120001237
1998101415,1120001642
1998101683,1120001164
1998101749,1120001232
1998102345,1120000667
1998103058,1120001164
1998103071,1120001503
1998103161,1120001558
1998103687,1120001560
1998103712,1120001554
1998103836,1120001326
1998104076,1120001237
1998104181,1120001596
1998104397,1120001538
1998109094,1120001641
1998110029,1140003602
1998110130,1140003285
1998200101,1120000790
1999100480,1120001390
1999100647,1120001522
1999100974,1120001503
1999101104,1120001657
1999102118,1120001656
1999102303,1120001381
1999102402,1120001259
1999102687,1120001664
1999103528,1120001255
1999104390,1120001672
1999105030,1120000984
1999106586,1120001465
1999106660,1120001596
1999106907,1120001675
1999109008,1120001622
1999109016,1120001618
1999109018,1120001166
1999110032,1140003602
1999110108,1140004418
2000100125,1120001510
2000100158,1120001700
2000100195,1120001339
2000100470,1120001698
2000100555,1120001593
2000100776,1120001724
2000100894,1120001071
2000100942,1120001607
2000102175,1120001333
2000103611,1120001653
2000104120,1120001101
2000104158,1120001695
2000104705,1120001454
2000105245,1120001164
2000106639,1120001513
2000107432,1120000779
2000109029,1120001720
2000109039,1120001166
2000109470,1120001688
2000109472,1120001164
2000110217,1140004572
2000110226,1140004070
2000110237,1140004204
2001100205,1120001737
2001100331,1120001667
2001100508,1120001551
2001100554,1120001417
2001100625,1120001652
2001100686,1120001664
2001100981,1120001101
2001101085,1120001522
2001101225,1120001560
2001101497,1120001450
2001101762,1120001663
2001101915,1120001551
2001102311,1120001657
2001102548,1120001465
2001102789,1120001752
2001102814,1120001577
2001103358,1140002540
2001103363,1120001232
2001103416,1120001743
2001103952,1120001671
2001104114,1120001538
2001104171,1120001232
2001104181,1120000779
2001104232,1120001164
2001104263,1120001232
2001104554,1120001255
2001105336,1120001326
2001105427,1120001510
2001105435,1120001255
2001105552,1120001354
2001105942,1120001746
2001106002,1120001255
2001106075,1120001507
2001106149,1120001743
2001106188,1120001232
2001106691,1120001736
2001107299,1120001548
2001107332,1120001554
2001107532,1120000715
2001107542,1120001658
2001109027,1120000761
2001109037,1120001390
2001109043,1120001615
2001109047,1120001147
2001109060,1120001147
2001109148,1120001608
2001109150,1120001498
2001109430,1120001752
2001109485,1120001476
2001110184,1140004481
2001110220,1140002183
2002100683,1120001790
2002100717,1120001232
2002100978,1120001542
2002101132,1120001760
2002102476,1120001801
2002102500,1120001615
2002102651,1120001558
2002102898,1120001695
2002102940,1120001339
2002102953,1120001455
2002103269,1120001746
2002103436,1120001548
2002103840,1120001326
2002103988,1120001183
2002104092,1120001667
2002104318,1120001538
2002104624,1120001790
2002104780,1120001742
2002105052,1120000908
2002105054,1120001548
2002105075,1120000908
2002106410,1120001657
2002106491,1120001237
2002106889,1120001507
2002106979,1120001796
2002109002,1120001720
2002109006,1120001556
2002109009,1120001390
2002109018,1120001694
2002109022,1120001648
2002109032,1120001801
2002109034,1120001832
2002109036,1120001390
2002109038,1120001390
2002109055,1120001548
2002109112,1120001057
2002109114,1120001057
2002109360,1120001450
2002109418,1120001700
2002109424,1120001164
2002110039,1140003483
2002110108,1140002552
2002110130,1140004534
2002110159,1140004616
2002110229,1140004727
2003100355,1120001419
2003100571,1120001548
2003100607,1120001450
2003100817,1120001339
2003101030,1120001858
2003102133,1120001548
2003102238,1120001752
2003102324,1120001793
2003102332,1120001669
2003102533,1120001542
2003102570,1120001596
2003102636,1120001796
2003102778,1120001232
2003103038,1140004638
2003103793,1120001785
2003104100,1120001507
2003104165,1120001868
2003104489,1120001786
