trainer_id,trainer_name
00379,加藤　敬二
00977,安達　小八
00380,柄崎　孝
00396,福島　信晴
00373,武　邦彦
00389,飯田　明弘
00972,Ｄ．オブライエン
00974,Ｇ．ハーウッド
00969,Ｊ．デイ
00970,Ｊ．ゴスデン
00808,Ｎ．Ｄ．ランダース
00801,Ｆ．Ｔ．リッチー
00928,Ｒ．フランケル
00818,Ｒ．Ｊ．ランディ
00805,安藤　栄作
00391,加賀　武見
00394,中野渡　清一
00821,渥美　忠男
00822,佐々木　総雄
00388,山内　研二
00806,福永　二三雄
00385,佐藤　全弘
00807,鈴木　良文
00815,三上　茂
00393,嶋田　功
00803,Ｒ．アトフィールド
00812,Ｄ．ウェルド
00819,Ｃ．マゴーイ
00800,Ｄ．Ｊ．オサリバン
00390,池上　昌弘
00413,田中　章博
00392,古賀　史生
00870,福島　幸広
00398,梅内　忍
00384,大久保　光康
00387,目野　哲也
00845,黒川　武
00864,成田　春男
00853,向山　勝
00397,岩元　市三
00917,河村　功
00837,飯野　貞次
00809,Ｒｂ．コレ
00817,Ｒ．アームストロング
00820,Ｈ．ボロー
00825,Ｐ．コール
00401,嶋田　潤
00414,中島　敏文
00412,高橋　裕
00834,浜月　睦生
00408,田中　清隆
00409,二ノ宮　敬宇
00400,柴田　光陽
00399,国枝　栄
00866,青木　和夫
00405,小西　一男
00826,Ｍ．ジャーヴィス
00987,Ａ．ファーブル
00983,Ａ．ペンナ
00985,Ｄ．ヘイズ
00851,武田　広臣
00887,林　正夫
00863,鈴木　英二
00403,吉永　正人
00407,高橋　隆
00824,福島　幸三郎
00410,秋山　雅一
00844,桑原　義光
00850,森島　義弘
00836,城地　藤男
00402,谷原　義明
00848,山中　敏彦
00404,河野　通文
00835,後條　悦平
00823,錦見　勇夫
00406,柴田　政見
00938,Ｒ．マッカナリー
00981,Ｅ．ルルーシュ
00982,Ｗ．モット
00984,Ｅ．グレグソン
00986,Ｆ．Ｗ．ミッチェル
00838,ハンティンドン卿
00842,Ｊ．ウィーラー
00867,小筆　昌
00849,地辺　幸一
00411,浅見　秀一
05005,九日　俊光
00882,宇都宮　徳一
00856,出川　巳代造
00854,清水　政夫
00873,野口　孝
00846,久保　旭
00855,鈴木　忠俊
05004,谷口　祐治
00869,下田　泰広
00980,Ｈ．セシル
00840,Ｍ．スタウト
00841,Ｎ．クレマン
00857,Ｊ．ハモンド
00860,Ｂ．ケシンガーＪｒ．
05008,Ｊ．サハディ
05292,Ｊ．シェパード
00418,増沢　末夫
00427,森　秀行
00431,谷　潔
00436,堀井　雅広
00415,菅原　泰夫
00428,石毛　善彦
00423,上原　博之
05002,賀藤　安昭
00886,田中　正二
00416,田島　良保
00417,土田　稔
00861,中村　護
00889,仁岸　進
05003,花塚　進
00422,五十嵐　忠男
00420,宗像　義忠
00874,川島　正行
00419,松元　茂樹
00862,若松　平
00871,高田　功
00875,荒山　徳一
00868,大塚　三郎
05007,大山　一男
00426,郷原　洋行
00843,鈴木　亮平
00865,伊藤　光雄
00839,Ｐ．ドゥメルキャステル
00859,Ｌ．フリードマン
00877,Ｍ．ヘニグ
00878,Ｒ．マンデラ
00879,Ｖ．カルーソ
00884,Ｎ．ベッグ
05010,Ｄ．オリバー
00847,飯干　秀人
00425,加用　正
05031,佐藤　幸
00433,成島　英春
05060,吉村　務
05066,川嶋　弘吉
00881,加藤　健
01002,音無　秀孝
05045,崎谷　彦司
05023,千葉　四美
00424,蛯名　信広
00421,浅野　洋一郎
05006,久保　与造
05000,河内　義昭
05030,原田　俊次
00432,富田　一幸
05001,赤間　亨
00435,藤原　辰雄
00852,鮫島　勉
05019,川原　道正
01007,柴田　政人
00858,Ｐ．チャプルハイアム
00876,Ｊ．Ｄ．レボルド
00880,Ｂ．シュッツ
01011,松田　国英
05021,佐藤　二郎
00437,南田　美知雄
01010,中野　栄治
05043,高橋　道雄
00429,佐々木　晶三
01014,高市　圭二
05014,斉藤　弘光
05053,山田　彦助
00434,西橋　豊治
00430,柴崎　勇
05132,法理　勝弘
00438,安田　隆行
01001,岩城　博俊
01019,保田　一隆
01015,田所　清広
05067,千葉　次男
05044,黒沢　四郎
00885,中村　光春
01029,根本　康広
01006,作田　誠二
00883,Ｈ．イブラヒム
05011,Ｇ．ジルクリスト
05016,Ｓ．ビン・スルール
05037,Ｄ．ドンク
05038,Ｆ．シュルホファー
05042,Ｍ．ドイル
05068,Ｃ．クレメント
05294,Ｖ．ウィリアムス
00888,高岩　隆
01005,小桧山　悟
01041,藤沢　則雄
05054,松田　路博
01009,田所　秀孝
01016,西浦　勝一
05077,荒木　市雄
01004,後藤　由之
05078,松橋　寛
01008,杉浦　宏昭
01017,萩原　清
00942,磯村　林三
01013,小島　太
05175,室井　康雄
01003,川村　禎彦
01030,星野　忍
05022,千葉　博
05013,佐々木　国広
01018,宮　徹
01024,萱野　浩二
01023,伊藤　圭三
05165,松浦　正春
05017,Ｋ．マクラクリン
05040,Ｇ．ウォーターハウス
05041,Ｒ．トムセン
